name,department,age,availability,availableFrom,availableTo,reviews
Kiah,ENT,65,false,7:36 AM,10:27 AM,"[{""type"":""Diagnosis"",""star"":4},{""type"":""Cleanliness"",""star"":1},{""type"":""On time"",""star"":3},{""type"":""Diagnosis"",""star"":1},{""type"":""Cure rate"",""star"":5}]"
Ben,Cardiology,68,false,9:07 AM,3:54 PM,"[{""type"":""Polite"",""star"":5},{""type"":""Cleanliness"",""star"":5},{""type"":""Diagnosis"",""star"":5},{""type"":""Economical"",""star"":2}]"
Midge,ENT,48,false,5:37 AM,4:23 AM,"[{""type"":""Economical"",""star"":3},{""type"":""Cure rate"",""star"":2}]"
Valene,Neurology,30,true,12:56 AM,6:31 AM,"[{""type"":""Cleanliness"",""star"":2},{""type"":""Polite"",""star"":2},{""type"":""Polite"",""star"":4},{""type"":""Diagnosis"",""star"":5},{""type"":""On time"",""star"":3},{""type"":""Cleanliness"",""star"":2},{""type"":""Economical"",""star"":4}]"
Damita,ICU,45,false,10:16 PM,11:59 AM,"[{""type"":""Cure rate"",""star"":4},{""type"":""Economical"",""star"":2},{""type"":""Diagnosis"",""star"":5}]"
Aurie,Neurology,50,false,6:44 AM,3:42 PM,"[{""type"":""Cleanliness"",""star"":2},{""type"":""Economical"",""star"":2},{""type"":""Polite"",""star"":4},{""type"":""On time"",""star"":4},{""type"":""Diagnosis"",""star"":3}]"
Antonie,Gynecologist,67,true,6:25 PM,9:13 AM,"[{""type"":""Diagnosis"",""star"":2},{""type"":""Cure rate"",""star"":3},{""type"":""On time"",""star"":5},{""type"":""Diagnosis"",""star"":3},{""type"":""On time"",""star"":3}]"
Cleon,ENT,44,false,9:22 AM,12:03 AM,"[{""type"":""Polite"",""star"":5}]"
Lin,Cardiology,31,true,3:23 AM,2:26 AM,"[{""type"":""Cure rate"",""star"":3},{""type"":""Cleanliness"",""star"":3},{""type"":""Cleanliness"",""star"":2},{""type"":""Polite"",""star"":4},{""type"":""Polite"",""star"":3},{""type"":""Polite"",""star"":1}]"
Morty,Dental,35,false,2:02 PM,7:50 PM,"[{""type"":""Polite"",""star"":1},{""type"":""Polite"",""star"":5},{""type"":""Cure rate"",""star"":2},{""type"":""On time"",""star"":5},{""type"":""On time"",""star"":3},{""type"":""On time"",""star"":2}]"
